id;valid_days;wear_time;total_counts_axis1;total_counts_vm;axis1_per_min;vm_per_min;minutes_SED;minutes_LPA;minutes_MPA;minutes_VPA;minutes_MVPA;percent_SED;percent_LPA;percent_MPA;percent_VPA;percent_MVPA;ratio_mvpa_sed;mets_hours_mvpa;total_kcal;pal;total_steps;max_steps_60min;max_steps_30min;max_steps_20min;max_steps_5min;max_steps_1min;peak_steps_60min;peak_steps_30min;peak_steps_20min;peak_steps_5min;peak_steps_1min;ig;M1/3;M120;M60;M30;M15;M5;mean_breaks;alpha;MBD;UBD;gini
2;2;629,50;326103,00;796777,12;518,82;1266,57;190,00;362,00;77,50;0;77,50;30,23;57,44;12,35;0;12,35;0,41;0;NA;NA;9714,00;43,50;66,85;90,40;114,80;130,00;93,22;106,91;111,70;121,10;130,00;-1,39;114,69;2556,58;4004,66;5187,08;5926,38;5926,38;64,50;2,42;2,0;3,61;0,47
3;5;739,80;316190,60;810640,26;432,04;1101,61;289,00;380,20;70,60;0;70,60;39,67;50,51;9,81;0;9,81;0,37;0;NA;NA;8474,00;39,92;56,00;71,64;98,16;120,40;73,54;88,35;95,11;111,16;120,40;-1,65;231,48;2510,63;3529,97;4379,52;5023,00;5023,00;61,40;2,07;2,0;9,12;0,59
4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;5;735,80;331134,00;731568,41;444,09;985,26;303,00;367,60;65,20;0;65,20;41,57;49,70;8,73;0;8,73;0,24;0;NA;NA;8857,00;41,91;61,21;74,58;100,96;118,40;76,25;89,25;95,54;111,04;118,40;-1,57;130,23;2276,21;3525,03;4422,02;5057,47;5057,47;88,40;2,27;2,0;5,16;0,51
14;4;714,75;193732,00;550313,76;267,34;761,92;418,50;255,50;40,75;0;40,75;59,25;35,04;5,71;0;5,71;0,10;0;NA;NA;5292,25;26,47;36,19;41,74;79,30;108,25;47,17;60,84;69,59;92,90;108,25;-1,62;21,80;1892,15;2863,22;3607,24;4254,16;4254,16;53,75;1,78;3,0;17,78;0,63
21;4;768,50;347427,50;872213,19;457,89;1134,79;219,00;494,00;55,50;0;55,50;29,18;63,47;7,35;0;7,35;0,28;0;NA;NA;8705,25;37,50;53,42;58,26;98,20;117,50;65,01;80,61;88,84;108,35;117,50;-1,69;345,50;2352,97;3342,82;4277,57;5066,58;5066,58;80,00;2,62;2,0;3,60;0,48
22;5;811,40;240937,60;750006,83;295,02;920,06;189,80;597,60;24,00;0;24,00;23,47;73,61;2,93;0;2,93;0,13;0;NA;NA;5925,40;22,03;30,43;34,74;55,48;88,20;42,47;52,73;57,91;73,60;88,20;-1,85;455,76;1875,86;2589,84;3249,91;3827,72;3827,72;78,20;3,01;1,0;3,14;0,48
23;4;671,75;397854,50;982462,02;582,57;1444,40;172,00;419,00;80,75;0;80,75;26,16;62,09;11,76;0;11,76;0,68;0;NA;NA;8884,50;32,57;46,83;55,61;93,15;125,25;64,87;79,70;87,61;112,15;125,25;-1,56;315,21;2766,16;3901,79;5024,77;6066,58;6066,58;58,00;2,46;2,0;4,10;0,49
24;3;751,67;290077,67;692141,18;386,09;912,19;280,33;426,00;45,33;0;45,33;37,70;56,44;5,86;0;5,86;0,16;0;NA;NA;8719,00;41,66;65,28;76,82;92,13;115,33;75,99;87,76;93,02;105,00;115,33;-1,69;168,55;1989,40;3017,77;4078,48;4826,21;4826,21;80,33;2,55;1,0;7,22;0,59
25;5;836,40;582175,00;1574032,78;686,38;1859,35;170,40;507,00;159,00;0;159,00;21,11;60,24;18,66;0;18,66;1,00;0;NA;NA;12048,60;40,72;54,99;61,93;103,68;123,20;69,15;83,70;92,25;114,96;123,20;-1,43;962,20;3849,97;5058,54;6103,12;7065,25;7065,25;57,80;2,58;1,0;4,14;0,51
